ID_Provinsi;Provinsi;Tahun;Pengangguran;Jumlah AK;Pengeluaran Perkapita;PDRB provinsi;Upah (Rupiah Jam);PP IKM (Y to Y);PDRB (Rupiah) perkapita;Penduduk (ribu jiwa);Gini Ratio;PK-K;PK-M;PK-B;Industri Mikro;Industri Kecil
13;Sumatera Barat;2017;138703;2483675;1053803482;5.3;14378;-2.58;40194;5321.5;0.312;4619;337;17;112127;4412
14;Riau;2017;184564;2965585;1120937641;2.66;15182;11.15;105845;6657.9;0.325;6251;971;48;62371;3362
15;Jambi;2017;66816;1724633;9692246217;4.6;14326;13.82;53993;3515;0.334;2827;339;10;26733;1059
16;Sumatera Selatan;2017;181135;4123669;9248468052;5.51;12690;5.21;46315;8267;0.365;2698;793;35;65984;3884
17;Bengkulu;2017;36279;969255;9909085642;4.98;14011;10.59;31359;1934.3;0.349;1405;159;4;26318;462
18;Lampung;2017;176257;4072487;8492934394;5.16;11234;1.26;36998;8289.6;0.333;1901;323;13;93499;5772
19;Kepulauan Bangka Belitung;2017;26399;699017;1360994313;4.47;14822;8.27;48827;1430.9;0.276;1248;68;1;25859;489
21;Kepulauan Riau;2017;69160;966091;1564877496;1.98;19832;9.65;109333;2082.7;0.359;1607;449;16;32949;1445
31;DKI Jakarta;2017;346945;4856116;1997446383;6.2;23826;16.95;228003;10374.2;0.409;1758;7326;702;56201;19827
32;Jawa Barat;2017;1839428;22391003;1103337.29;5.33;16202;1.08;37223;48037.6;0.393;8281;2729;71;523766;50409
33;Jawa Tengah;2017;823938;18010612;8272234512;5.26;10569;-3.35;34234;34257.9;0.365;9550;1354;32;836641;55990
34;DI Yogyakarta;2017;64019;2117187;1140166381;5.26;12281;15.01;31665;3762.2;0.44;1110;172;4;91328;5991
35;Jawa Timur;2017;838496;20937716;9388013203;5.46;11883;3.12;51228;39293;0.415;16890;2230;100;723735;128566
36;Banten;2017;519563;5596963;1251971787;5.75;19719;20.87;45276;12448.2;0.379;2154;901;29;96201;9509
51;Bali;2017;36143;2434450;1332084884;5.56;15624;4.11;50167;4246.5;0.379;1958;300;9;140097;9082
52;Nusa Tenggara Barat;2017;79449;2396169;8210520905;0.09;10962;-0.07;24987;4955.6;0.378;2598;196;14;99961;16909
53;Nusa Tenggara Timur;2017;78548;2398609;6814835061;5.11;12281;25.6;17165;5287.3;0.359;5174;323;6;158491;2766
61;Kalimantan Barat;2017;105061;2408259;9291354102;5.17;14734;3.98;35985;4932.5;0.329;5159;372;7;53348;1696
62;Kalimantan Tengah;2017;53962;1276669;1134979364;6.73;16737;20.8;48293;2605.3;0.327;1585;362;23;33148;1439
63;Kalimantan Selatan;2017;98956;2074117;1157805966;5.28;15507;17.19;38620;4119.8;0.347;3547;450;9;86223;2049
64;Kalimantan Timur;2017;114289;1654964;1443927873;3.13;21864;7.58;165547;4266.5;0.333;4340;1321;64;31646;1452
65;Kalimantan Utara;2017;18315;330731;1303765835;6.8;20392;26.87;111319;666.3;0.313;1366;212;14;7103;235
71;Sulawesi Utara;2017;80483;1121309;1106712833;6.31;17112;4.99;44744;2461;0.394;2353;273;10;65364;1866
72;Sulawesi Tengah;2017;54369;1428583;918349416;7.1;13770;5.18;45157;2966.3;0.345;3382;301;8;79500;7690
73;Sulawesi Selatan;2017;213695;3812358;9279083915;7.21;15841;-0.01;47822;8690.3;0.429;7146;676;28;119601;3778
74;Sulawesi Tenggara;2017;39631;1200605;853719526;6.76;16604;18.94;41279;2602.4;0.404;3183;292;8;67036;847
75;Gorontalo;2017;23450;547766;8983825111;6.73;12784;15.63;29565;1168.2;0.405;1009;110;3;35435;1515
76;Sulawesi Barat;2017;19744;614748;7226257503;6.39;12741;20.34;29676;1331;0.339;1329;47;1;21602;844
81;Maluku;2017;65735;707796;9038593029;5.82;16275;17.61;22859;1744.7;0.321;2007;241;12;41194;673
82;Maluku Utara;2017;27516;516231;9267946916;7.67;15760;21.86;26686;1209.3;0.33;2214;276;7;27761;4147
91;Papua Barat;2017;27952;430478;1121891936;4.02;19911;4.31;78424;915.4;0.387;2359;444;21;10693;384
94;Papua;2017;63770;1762841;1079860948;4.64;25657;19.13;57864;3265.2;0.398;4153;744;30;11972;509
